"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"01/15/2026","Sell","IEMG","ISHARES CORE MSCI EMERGING ETF","8","$71.4668","","$571.73"
"01/08/2026","Qualified Dividend","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$19.09"
"12/30/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$40.26"
"12/30/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$27.06"
"12/23/2025","Qualified Dividend","YUMC","YUM CHINA HLDGS INC","","","","$36.00"
"12/19/2025","Cash Dividend","IEMG","ISHARES CORE MSCI EMERGING ETF","","","","$3930.47"
"12/01/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$69.17"
"10/31/2025","Qualified Dividend","TGLS","TECNOGLASS INC F","","","","$11.85"
"10/09/2025","Qualified Dividend","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$19.73"
"09/29/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$41.00"
"09/29/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$19.42"
"09/23/2025","Qualified Dividend","YUMC","YUM CHINA HLDGS INC","","","","$36.00"
"09/16/2025","Cash Dividend","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$7.28"
"09/10/2025","Sell","IEMG","ISHARES CORE MSCI EMERGING ETF","66","$64.045","$0.01","$4226.96"
"08/27/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$59.02"
"08/18/2025","Qualified Dividend","WIT","WIPRO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$122.50"
"08/06/2025","Qualified Dividend","RDY","DR REDDYS LABS LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$39.80"
"07/31/2025","Qualified Dividend","TGLS","TECNOGLASS INC F","","","","$11.85"
"07/10/2025","Qualified Dividend","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","","","","$109.20"
"07/10/2025","Qualified Dividend","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$119.39"
"07/10/2025","Special Qual Div","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","","","","$98.80"
"06/30/2025","Buy","IEMG","ISHARES CORE MSCI EMERGING ETF","1,930","$59.895","","-$115597.35"
"06/30/2025","Buy","YUMC","YUM CHINA HLDGS INC","51","$44.4856","","-$2268.77"
"06/30/2025","Sell","MELI","MERCADOLIBRE INC","1","$2611.87","","$2611.87"
"06/30/2025","Buy","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","200","$12.495","","-$2499.00"
"06/30/2025","Sell","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","46","$112.5429","$0.01","$5176.96"
"06/30/2025","Buy","WIT","WIPRO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","1,450","$3.0352","","-$4401.04"
"06/30/2025","Sell","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","129","$226.51","$0.02","$29219.77"
"06/30/2025","Buy","ACMR","ACM RESH INC CLASS A","269","$25.976","","-$6987.54"
"06/30/2025","Sell","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","150","$35.10","$0.02","$5264.98"
"06/30/2025","Sell","FN","FABRINET F","80","$292.0475","$0.01","$23363.79"
"06/30/2025","Sell","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","95","$134.91","$0.02","$12816.43"
"06/30/2025","Sell","WNS","WNS HOLDINGS LIMITED F","130","$63.6876","$0.02","$8279.37"
"06/30/2025","Sell","EBR","ELETROBRAS ADR ADR FSPONSORED ADR 1 ADR REPS 1 ORD SHS","821","$7.3911","$0.14","$6067.95"
"06/30/2025","Sell","NBIS","NEBIUS GROUP N V A FCLASS A","100","$54.525","$0.02","$5452.48"
"06/30/2025","Sell","MMYT","MAKEMYTRIP LIMITED, MA F","165","$97.3377","$0.03","$16060.69"
"06/30/2025","Sell","KT","KT CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","449","$20.782","$0.07","$9331.05"
"06/30/2025","Sell","GRVY","GRAVITY CO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","107","$63.5387","$0.02","$6798.62"
"06/27/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$2.78"
"06/27/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$45.87"
"06/20/2025","Cash Dividend","IEMG","ISHARES CORE MSCI EMERGING ETF","","","","$1126.24"
"06/18/2025","Qualified Dividend","YUMC","YUM CHINA HLDGS INC","","","","$23.76"
"06/13/2025","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$64.13"
"06/09/2025","Qualified Dividend","SONY","SONY GROUP CORP FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$0.42"
"05/28/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$2.14"
"05/28/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$44.52"
"05/20/2025","Buy","IEMG","ISHARES CORE MSCI EMERGING ETF","82","$57.425","","-$4708.85"
"05/20/2025","Sell","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","99","$43.585","$0.02","$4314.89"
"05/20/2025","Qualified Dividend","EBR","ELETROBRAS ADR ADR FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$130.48"
"05/15/2025","Buy","IEMG","ISHARES CORE MSCI EMERGING ETF","451","$57.2817","","-$25834.04"
"05/07/2025","Qualified Dividend","KT","KT CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","","","","$94.06"
"05/02/2025","Sell","ANPDY","ANTA SPORTS PRODS LTD FSPONSORED ADR 1 ADR REPS 25 ORD SHS","35","$294.59","$7.25","$10303.40"
"05/02/2025","Sell","BYDDY","BYD CO LTD FUNSPONSORED ADR 1 ADR REPS 2 ORD SHS","105","$98.52","$7.26","$10337.34"
"04/30/2025","Qualified Dividend","TGLS","TECNOGLASS INC F","","","","$11.85"
"04/25/2025","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$43.47"
"04/23/2025","Qualified Dividend","KT","KT CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","","","","$78.52"
"04/23/2025","Buy","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","103","$119.3613","","-$12294.21"
"04/23/2025","Sell","IEMG","ISHARES CORE MSCI EMERGING ETF","41","$53.3851","$0.06","$2188.73"
"04/22/2025","Sell","FN","FABRINET F","27","$179.00","$0.12","$4832.88"
"04/22/2025","Sell","MMYT","MAKEMYTRIP LIMITED, MA F","51","$104.01","$0.16","$5304.35"
"04/16/2025","Sell","BTSGY","BTS GROUP HLDGS PUB CO FSPONSORED ADR 1 ADR REPS ...100 ORD SHS","119","$3.08","$0.03","$366.49"
"04/10/2025","Qualified Dividend","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$103.69"
"04/08/2025","Sell","SONY","SONY GROUP CORP FSPONSORED ADR 1 ADR REPS 1 ORD SHS","6","$21.90","","$131.40"
"04/08/2025","Sell","CCJ","CAMECO CORP F","3","$38.25","","$114.75"
"03/27/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$2.14"
"03/27/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$1.32"
"03/27/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$0.03"
"03/27/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$82.01"
"03/27/2025","Qualified Dividend","YUMC","YUM CHINA HLDGS INC","","","","$23.76"
"03/20/2025","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$115.92"
"03/19/2025","Buy","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","1","$142.61","","-$142.61"
"03/19/2025","Buy","SONY","SONY GROUP CORP FSPONSORED ADR 1 ADR REPS 1 ORD SHS","6","$24.67","","-$148.02"
"03/19/2025","Buy","CCJ","CAMECO CORP F","3","$44.04","","-$132.12"
"02/27/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$84.18"
"02/19/2025","Qualified Dividend","WIT","WIPRO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$48.26"
"01/31/2025","Qualified Dividend","TGLS","TECNOGLASS INC F","","","","$11.85"
"01/21/2025","Qualified Dividend","EBR","ELETROBRAS ADR FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$115.94"
"01/09/2025","Qualified Dividend","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$93.04"
"01/03/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$178.96"
"01/03/2025","Sell","IEMG","ISHARES CORE MSCI EMERGING ETF","40","$52.521","$0.07","$2100.77"
"12/30/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$61.56"
"12/20/2024","Cash Dividend","IEMG","ISHARES CORE MSCI EMERGING ETF","","","","$1319.49"
"12/17/2024","Qualified Dividend","YUMC","YUM CHINA HLDGS INC","","","","$15.84"
"12/13/2024","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$41.33"
"11/29/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$50.42"
"11/29/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$13.91"
"11/29/2024","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$44.20"
"11/07/2024","Qualified Dividend","KT","KT CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","","","","$81.30"
"10/31/2024","Qualified Dividend","TGLS","TECNOGLASS INC F","","","","$8.69"
"10/09/2024","Qualified Dividend","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$95.60"
"10/07/2024","Non-Qualified Div","ANPDY","ANTA SPORTS PRODS LTD FSPONSORED ADR 1 ADR REPS 25 ORD SHS","","","","$132.61"
"09/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$9.54"
"09/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$58.13"
"09/20/2024","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$41.33"
"09/17/2024","Qualified Dividend","YUMC","YUM CHINA HLDGS INC F","","","","$15.84"
"09/06/2024","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$46.20"
"08/30/2024","Buy","IEMG","ISHARES CORE MSCI EMERGING ETF","400","$54.3599","","-$21743.96"
"08/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$67.95"
"08/13/2024","Qualified Dividend","BYDDY","BYD CO LTD FUNSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$91.40"
"08/12/2024","Qualified Dividend","RDY","DR REDDY S LABORATORIE FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$41.43"
"08/06/2024","Qualified Dividend","KT","KT CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","","","","$80.95"
"07/31/2024","Qualified Dividend","TGLS","TECNOGLASS INC F","","","","$8.69"
"07/11/2024","Qualified Dividend","TSM","TAIWAN SEMICONDUCTR FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$82.61"
"06/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$5.53"
"06/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$3.58"
"06/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$111.28"
"06/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$72.06"
"06/21/2024","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$47.03"
"06/18/2024","Qualified Div Adj","YUMC","YUM CHINA HOLDINGS INC","","","","-$15.84"
"06/18/2024","Qualified Dividend","YUMC","YUM CHINA HOLDINGS INC","","","","$15.84"
"06/18/2024","Qualified Dividend","YUMC","YUM CHINA HOLDINGS INC","","","","$15.84"
"06/17/2024","Non-Qualified Div","TCEHY","TENCENT HOLDINGS FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$45.14"
"06/17/2024","Cash Dividend","IEMG","ISHARES CORE MSCI EMERGING ETF","","","","$374.48"
"06/11/2024","Non-Qualified Div","ANPDY","ANTA SPORTS PRODUCT FSPONSORED ADR 1 ADR REPS 25 ORD SHS","","","","$128.82"
"06/10/2024","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$44.86"
"06/03/2024","Buy","MELI","MERCADOLIBRE INC","4","$1690.527","","-$6762.11"
"05/29/2024","Sell","TCEHY","TENCENT HOLDINGS FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS","104","$47.40","$7.11","$4922.49"
"05/28/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$3.11"
"05/28/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$118.18"
"05/28/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$4.81"
"05/28/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$76.53"
"05/28/2024","Cash Dividend","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$33.24"
"05/20/2024","Qualified Dividend","KT","KT CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","","","","$81.76"
"05/16/2024","Qualified Dividend","EBR","ELETROBRAS FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$64.25"
"05/06/2024","Buy","BYDDY","BYD CO LTD FSPONSORED ADR 1 ADR REPS 2 ORD SHS","105","$57.95","$6.95","-$6091.70"
"05/06/2024","Sell","ASAI","SENDAS DISTRIBUIDORA FSPONSORED ADR 1 ADR REPS 5 ORD SHS","230","$13.1948","$0.06","$3034.74"
"05/03/2024","Qualified Dividend","KT","KT CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","","","","$319.15"
"05/03/2024 as of 05/31/2023","Foreign Tax Reclaim Adj","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$95.13"
"05/02/2024 as of 01/05/2024","Foreign Tax Reclaim Adj","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$16.39"
"05/02/2024 as of 11/21/2023","Foreign Tax Reclaim Adj","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$20.14"
"05/02/2024 as of 07/31/2023","Foreign Tax Reclaim Adj","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$24.02"
"04/30/2024","Qualified Dividend","TGLS","TECNOGLASS INC F","","","","$8.69"
"04/26/2024","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$44.42"
"04/11/2024","Qualified Dividend","TSM","TAIWAN SEMICONDUCTR FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$83.48"
"03/28/2024","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$102.59"
"03/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$2.26"
"03/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$95.37"
"03/26/2024","Qualified Dividend","YUMC","YUM CHINA HOLDINGS INC","","","","$15.84"
"02/29/2024","Sell","NIO","NIO INC FSPONSORED ADR 1 ADR REPS 1 ORD SHS","200","$5.58","$0.04","$1115.96"
"02/29/2024","Sell","AU","ANGLOGOLD ASHANTI PLC F","226","$18.71","$0.07","$4228.39"
