"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"02/29/2024","Sell","TME","TENCENT MUSIC ENTMT GR FSPONSORED ADR 1 ADR REPS 2 ORD SHS","307","$10.38","$0.08","$3186.58"
"02/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$35.51"
"02/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$62.67"
"02/22/2024","Sell","LPL","LG DISPLAY CO LTD FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","649","$4.42","$0.13","$2868.45"
"02/22/2024","Sell","JD","JD COM INC FSPONSORED ADR 1 ADR REPS 2 ORD SHS","144","$24.00","$0.05","$3455.95"
"02/22/2024","Sell","PAGS","PAGSEGURO DIGITAL FCLASS A","163","$13.03","$0.05","$2123.84"
"02/15/2024","Qualified Dividend","WIT","WIPRO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$4.21"
"01/31/2024","Qualified Dividend","TGLS","TECNOGLASS INC F","","","","$7.11"
"01/11/2024","Qualified Dividend","TSM","TAIWAN SEMICONDUCTR FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$73.94"
"01/05/2024","Cash Dividend","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$74.43"
"01/03/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$73.27"
"01/03/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$9.48"
"12/27/2023","Cash Dividend","IEMG","ISHARES CORE MSCI EMERGING ETF","","","","$718.11"
"12/22/2023","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$82.66"
"12/19/2023","Qualified Dividend","YUMC","YUM CHINA HOLDINGS INC","","","","$12.87"
"12/15/2023","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$47.03"
"12/01/2023","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$47.55"
"11/30/2023","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$53.21"
"11/30/2023","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$30.45"
"11/21/2023","Cash Dividend","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$91.45"
"10/31/2023","Qualified Dividend","TGLS","TECNOGLASS INC F","","","","$7.11"
"10/12/2023","Qualified Dividend","TSM","TAIWAN SEMICONDUCTR FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$71.16"
"10/03/2023","Non-Qualified Div","ANPDY","ANTA SPORTS PRODUCT FSPONSORED ADR 1 ADR REPS 25 ORD SHS","","","","$91.76"
"09/27/2023","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$138.75"
"09/25/2023","Mandatory Reorg Exc","AU","ANGLOGOLD ASHANTI PLC F","226","","",""
"09/25/2023","Mandatory Reorg Exc","035128206","ANGOLD ASHANTI FSPONSORED ADR 1 ADR REPS 1 ORD SHS","-226","","",""
"09/22/2023","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$49.88"
"09/18/2023","Qualified Dividend","AU","ANGOLD ASHANTI FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$8.27"
"09/18/2023","Qualified Dividend","YUMC","YUM CHINA HOLDINGS INC","","","","$12.87"
"09/11/2023","Qualified Dividend","BTSGY","BTS GROUP HOLDINGS PUB FSPONSORED ADR 1 ADR REPS ...100 ORD SHS","","","","$54.08"
"09/06/2023","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$46.75"
"08/25/2023","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$95.55"
"08/25/2023","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$39.75"
"08/11/2023","Qualified Dividend","RDY","DR REDDY S LABORATORIE FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$41.99"
"07/31/2023","Cash Dividend","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$115.86"
"07/31/2023","Cash Dividend","TGLS","TECNOGLASS INC F","","","","$7.11"
"07/28/2023","Qualified Dividend","IBAAY","INDUSTRIAS BACHOCO S A FEXCHANGE OFFER EXP: 08/11/23","","","","$75.30"
"07/13/2023","Qualified Dividend","TSM","TAIWAN SEMICONDUCTR FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$67.17"
"07/03/2023","Qualified Dividend","ASAI","SENDAS DISTRIBUIDORA S FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$12.04"
"06/23/2023","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$136.41"
"06/23/2023","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$44.18"
"06/20/2023","Qualified Dividend","TCEHY","TENCENT HOLDINGS FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$31.78"
"06/20/2023","Qualified Dividend","YUMC","YUM CHINA HOLDINGS INC","","","","$12.87"
"06/13/2023","Qualified Dividend","ANPDY","ANTA SPORTS PRODUCT FSPONSORED ADR 1 ADR REPS 25 ORD SHS","","","","$80.43"
"06/13/2023","Qualified Dividend","IBA","INDUSTRIAS BACHOCO S A FSPONSORED ADR 1 ADR REPS 12 ORD SHS","","","","$72.44"
"06/13/2023","Cash Dividend","IEMG","ISHARES CORE MSCI EMERGING ETF","","","","$355.12"
"06/08/2023","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$46.75"
"06/02/2023","Cash Dividend","EBR","ELETROBRAS FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$36.17"
"06/01/2023 as of 05/26/2023","Special Qual Div","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$9.67"
"05/31/2023","Cash Dividend","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$471.77"
"05/26/2023","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$195.66"
"05/19/2023 as of 10/28/2022","Foreign Tax Reclaim Adj","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$81.70"
"05/19/2023 as of 12/27/2022","Foreign Tax Reclaim Adj","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$122.12"
"05/19/2023 as of 05/25/2022","Foreign Tax Reclaim Adj","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$3.79"
"05/04/2023","Qualified Dividend","JD","JD COM INC FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$89.28"
"05/04/2023","Qualified Dividend","KT","KT CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","","","","$327.43"
"04/28/2023","Cash Dividend","TGLS","TECNOGLASS INC F","","","","$7.11"
"04/24/2023","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$37.71"
"04/13/2023","Qualified Dividend","TSM","TAIWAN SEMICONDUCTR FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$69.01"
"04/10/2023","Qualified Dividend","AU","ANGOLD ASHANTI FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$40.80"
"04/10/2023","Unissued Rights Redemption","TCEHY","TENCENT HOLDINGS FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$176.03"
"03/28/2023","Qualified Dividend","YUMC","YUM CHINA HOLDINGS INC","","","","$12.87"
"03/24/2023","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$25.65"
"03/13/2023","Buy","TGLS","TECNOGLASS INC F","79","$38.75","","-$3061.25"
"02/28/2023","Qualified Dividend","ASAI","SENDAS DISTRIBUIDORA S FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$8.22"
"02/27/2023","Qualified Dividend","BTSGY","BTS GROUP HOLDINGS PUB FSPONSORED ADR 1 ADR REPS ...100 ORD SHS","","","","$52.72"
"02/23/2023","Buy","WIT","WIPRO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","350","$4.7481","","-$1661.84"
"01/27/2023 as of 01/26/2023","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$229.81"
"01/12/2023","Qualified Dividend","TSM","TAIWAN SEMICONDUCTR FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$68.44"
"01/04/2023","Cash Dividend","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$49.85"
"12/29/2022 as of 12/28/2022","Foreign Tax Pd Adj","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$10.54"
"12/29/2022 as of 12/28/2022","Qualified Div Adj","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","-$70.29"
"12/28/2022","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$70.29"
"12/28/2022","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$70.29"
"12/28/2022","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$156.66"
"12/27/2022","Cash Dividend","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$446.21"
"12/20/2022","Qualified Dividend","YUMC","YUM CHINA HOLDINGS INC","","","","$11.88"
"12/19/2022","Cash Dividend","IEMG","ISHARES CORE MSCI EMERGING ETF","","","","$484.28"
"12/16/2022","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$41.33"
"12/02/2022","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$37.01"
"10/28/2022","Cash Dividend","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$277.87"
"10/13/2022","Qualified Dividend","TSM","TAIWAN SEMICONDUCTR FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$66.54"
"10/05/2022","Qualified Dividend","ANPDY","ANTA SPORTS PRODUCT FSPONSORED ADR 1 ADR REPS 25 ORD SHS","","","","$69.11"
"09/27/2022","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$462.59"
"09/21/2022","Special Dividend","EBR","ELETROBRAS FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$9.18"
"09/21/2022","Cash Dividend","EBR","ELETROBRAS FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$113.79"
"09/19/2022","Qualified Dividend","AU","ANGOLD ASHANTI FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$64.39"
"09/16/2022","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$34.20"
"09/15/2022","Qualified Dividend","YUMC","YUM CHINA HOLDINGS INC","","","","$11.88"
"09/09/2022","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$73.08"
"09/08/2022","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$58.61"
"09/08/2022","Special Qual Div","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$403.22"
"09/07/2022","Qualified Dividend","BTSGY","BTS GROUP HOLDINGS PUB FSPONSORED ADR 1 ADR REPS ...100 ORD SHS","","","","$52.56"
"08/12/2022","Qualified Dividend","RDY","DR REDDY S LABORATORIE FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$32.92"
"07/27/2022","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$243.16"
"07/25/2022","Qualified Dividend","IBA","INDUSTRIAS BACHOCO S A FSPONSORED ADR 1 ADR REPS 12 ORD SHS","","","","$61.09"
"07/14/2022","Qualified Dividend","TSM","TAIWAN SEMICONDUCTR FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$70.62"
"07/05/2022","Qualified Dividend","ASAI","SENDAS DISTRIBUIDORA S FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$27.50"
"06/27/2022","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$196.43"
"06/27/2022","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$59.19"
"06/24/2022 as of 06/23/2022","Foreign Tax Pd Adj","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$136.30"
"06/24/2022 as of 06/23/2022","Cash Dividend Adj","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","-$389.43"
"06/24/2022 as of 06/23/2022","Cash Dividend","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$389.43"
"06/23/2022","Cash Dividend","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$389.43"
"06/23/2022","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$30.59"
"06/21/2022","Qualified Dividend","TCEHY","TENCENT HOLDINGS FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$21.21"
"06/21/2022","Qualified Dividend","YUMC","YUM CHINA HOLDINGS INC","","","","$11.88"
"06/15/2022","Cash Dividend","IEMG","ISHARES CORE MSCI EMERGING ETF","","","","$444.24"
"06/14/2022","Special Qual Div","JD","JD COM INC FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$181.44"
"06/10/2022","Qualified Dividend","ANPDY","ANTA SPORTS PRODUCT FSPONSORED ADR 1 ADR REPS 25 ORD SHS","","","","$75.80"
"06/09/2022","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$78.96"
"05/31/2022","Qualified Dividend","IBA","INDUSTRIAS BACHOCO S A FSPONSORED ADR 1 ADR REPS 12 ORD SHS","","","","$63.96"
"05/25/2022","Cash Dividend","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$14.61"
"05/23/2022","Special Qual Div","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$15.31"
"05/23/2022","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$401.26"
"05/04/2022","Qualified Dividend","KT","KT CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","","","","$338.86"
"04/26/2022","Qualified Dividend","LPL","LG DISPLAY CO LTD FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","","","","$170.70"
"04/25/2022","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$100.19"
"04/14/2022","Qualified Dividend","TSM","TAIWAN SEMICONDUCTR FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$72.77"
"04/13/2022","Unissued Rights Redemption","TCEHY","TENCENT HOLDINGS FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$141.45"
"04/04/2022","Qualified Dividend","AU","ANGOLD ASHANTI FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$33.54"
"03/29/2022","Qualified Dividend","YUMC","YUM CHINA HOLDINGS INC","","","","$11.88"
"03/25/2022","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$38.48"
"03/14/2022 as of 03/11/2022","Qualified Dividend","BTSGY","BTS GROUP HOLDINGS PUB FSPONSORED ADR 1 ADR REPS ...100 ORD SHS","","","","$54.77"
"03/03/2022","Sell","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","34","$102.24","$0.02","$3476.14"
"02/28/2022","Buy","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","356","$14.0292","","-$4994.40"
"02/22/2022","Sell","INFY","INFOSYS LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","285","$23.12","$0.03","$6589.17"
"02/22/2022","Sell","CO","GLOBAL CORD BLOOD F","574","$4.2267","$0.01","$2426.12"
"02/22/2022","Sell","CO","GLOBAL CORD BLOOD F","100","$4.2267","","$422.67"
"02/22/2022","Sell","CO","GLOBAL CORD BLOOD F","93","$4.2267","","$393.08"
"02/22/2022","Sell","CO","GLOBAL CORD BLOOD F","100","$4.23","","$423.00"
"02/10/2022","Buy","YUMC","YUM CHINA HOLDINGS INC","99","$50.2569","","-$4975.43"
"02/09/2022","Qualified Dividend","ANPDY","ANTA SPORTS PRODUCT FSPONSORED ADR 1 ADR REPS 25 ORD SHS","","","","$33.71"
"02/01/2022","Sell","IEMG","ISHARES CORE MSCI EMERGING ETF","83","$59.675","$0.03","$4953.00"
"02/01/2022","Buy","NIO","NIO INC FSPONSORED ADR 1 ADR REPS ORD SHS","200","$24.645","","-$4929.00"
"02/01/2022","Buy","RDY","DR REDDY S LABORATORIE FSPONSORED ADR 1 ADR REPS 1 ORD SHS","87","$56.885","","-$4949.00"
